EIN,ObjectId,FormType,TaxPeriod,TaxYear,OrganizationName,TotalAssetsBkEOY,TotalLiabilitiesBkEOY
226069151,202523159349302012,990,2024-12-31,2024,TOMS RIVER STUDENT LOAN FUND,1753084,0
226069151,202322349349301432,990,2022-12-31,2022,TOMS RIVER STUDENT LOAN FUND,1675656,0
226069151,202243189349312584,990,2021-12-31,2021,TOMS RIVER STUDENT LOAN FUND,1603994,0
270735586,202543219349305494,990,2024-12-31,2024,NATIVE COMMUNITY CAPITAL,22012039,15731379
270735586,202540529349300634,990,2023-12-31,2023,NATIVE COMMUNITY CAPITAL,25069515,19436704
270735586,202520369349301312,990,2022-12-31,2022,NATIVE COMMUNITY CAPITAL,13852338,6068443
311229532,202422499349300232,990,2023-12-31,2023,OHIO COMMUNITY DEVELOPMENT FINANCE FUND,72269615,2259000
311229532,202332129349301238,990,2022-12-31,2022,OHIO COMMUNITY DEVELOPMENT FINANCE FUND,61485006,723533
311229532,202202169349300115,990,2021-12-31,2021,OHIO COMMUNITY DEVELOPMENT FINANCE FUND,57278842,1127390
341097181,202510249349300626,990,2024-06-30,2023,BUCKEYE SHAKER SQUARE DEVELOPMENT CORPORATION,3067148,2601972
341097181,202411439349301201,990,2023-06-30,2022,BUCKEYE SHAKER SQUARE DEVELOPMENT CORPORATION,3108224,2601972
341097181,202311329349307151,990,2022-06-30,2021,BUCKEYE SHAKER SQUARE DEVELOPMENT CORPORATION,3151973,2601972
351859802,202543119349301514,990,2024-12-31,2024,KNOX COUNTY RURAL HOUSING FINANCE C,944153,742010
351859802,202431219349302008,990,2023-12-31,2023,KNOX COUNTY RURAL HOUSING FINANCE CORP,1020533,738682
351859802,202313129349301466,990,2022-12-31,2022,KNOX COUNTY RURAL HOUSING FINANCE CORP,1152764,724029
371848801,202502869349300745,990,2025-06-30,2024,BOURBON CAPITAL COMMUNITY ALLIANCE INC,203922,3538
371848801,202412609349302061,990,2024-06-30,2023,BOURBON CAPITAL COMMUNITY ALLIANCE INC,0,0
371848801,202312209349301101,990,2023-06-30,2022,BOURBON CAPITAL COMMUNITY ALLIANCE INC,0,0
411800192,202513179349304611,990,2024-12-31,2024,COMMUNITY DEVELOPMENT VENTURE CAPITAL ALLIANCE,22592293,1571243
411800192,202423119349301717,990,2023-12-31,2023,COMMUNITY DEVELOPMENT VENTURE CAPITAL ALLIANCE,18290034,1704378
411800192,202303189349313890,990,2022-12-31,2022,COMMUNITY DEVELOPMENT VENTURE CAPITAL ALLIANCE,14618602,1716136
421217415,202640299349300729,990,2025-06-30,2024,WEST HANCOCK SCHOLARSHIP & LOAN FUND OF IOWA,1586984,0
421217415,202500459349302060,990,2024-06-30,2023,WEST HANCOCK SCHOLARSHIP & LOAN FUND OF IOWA,1562873,0
421217415,202400329349302005,990,2023-06-30,2022,WEST HANCOCK SCHOLARSHIP & LOAN FUND OF IOWA,1549372,0
421510879,202610509349301341,990,2025-06-30,2024,POLK COUNTY HOUSING TRUST FUND,14181279,2619306
421510879,202500979349300520,990,2024-06-30,2023,POLK COUNTY HOUSING TRUST FUND,14783584,1911021
421510879,202440539349300834,990,2023-06-30,2022,POLK COUNTY HOUSING TRUST FUND,19208616,2042096
460846338,202321849349300002,990,2022-12-31,2022,OYATE COMMUNITY DEVELOPMENT CORPORATION,1573125,861114
460846338,202211309349303916,990,2021-12-31,2021,Oyate Community Development Financial Institution,1093889,396771
460846338,202133569349300423,990,2020-12-31,2020,Oyate Community Development Financial Institution,1299831,817608
591117362,202522279349301302,990,2024-09-30,2023,CAPITAL AREA COMMUNITY ACTION AGENCY INC,2806760,1114144
591117362,202422289349303282,990,2023-09-30,2022,CAPITAL AREA COMMUNITY ACTION AGENCYINC,3925750,2161301
591117362,202432289349304008,990,2022-09-30,2021,CAPITAL AREA COMMUNITY ACTION AGENCYINC,3298008,1838481
593563085,202142779349300244,990,2021-09-30,2020,FLORIDA COMMUNITY CAPITAL CORPORATION,0,0
593563085,202023569349300027,990,2020-09-30,2019,FLORIDA COMMUNITY CAPITAL CORPORATION,3489916,1417711
593563085,202042309349301429,990,2019-09-30,2018,FLORIDA COMMUNITY CAPITAL CORPORATION,9107715,6855438
841559406,202442759349300424,990,2023-12-31,2023,MERCY COMMUNITY CAPITAL,124987324,74847028
841559406,202322689349300872,990,2022-12-31,2022,MERCY COMMUNITY CAPITAL,105266874,60912975
841559406,202202789349300805,990,2021-12-31,2021,MERCY COMMUNITY CAPITAL,102660255,60684558
842768098,202610739349300306,990,2025-06-30,2024,CENTRAL IOWA HOUSING TRUST FUND,458239,74346
842768098,202501359349313840,990,2024-06-30,2023,CENTRAL IOWA HOUSING TRUST FUND,576474,68918
842768098,202411369349309781,990,2023-06-30,2022,CENTRAL IOWA HOUSING TRUST FUND,346261,6482
920006605,202441309349301424,990,2023-12-31,2023,CORDOVA DISTRICT FISHERMEN UNITED,270196,10509
920006605,202242389349301034,990,2021-12-31,2021,CORDOVA DISTRICT FISHERMAN UNITED,379029,2621
920006605,202013219349308451,990,2019-12-31,2019,CORDOVA DISTRICT FISHERMAN UNITED,395960,14261
262504959,202523219349327782,990,2024-12-31,2024,BLACK HILLS COMMUNITY LOAN FUND INC,1448038,324932
262504959,202403199349311785,990,2023-12-31,2023,BLACK HILLS COMMUNITY LOAN FUND INC,1516339,1321336
262504959,202303189349319005,990,2022-12-31,2022,BLACK HILLS COMMUNITY LOAN FUND INC,907219,134222
272313597,202501329349304095,990,2024-12-31,2024,CHURCH LOAN FUND INC,55093244,54954625
272313597,202411369349317976,990,2023-12-31,2023,CHURCH LOAN FUND INC,50365705,50144712
272313597,202341359349307789,990,2022-12-31,2022,CHURCH LOAN FUND INC,47934877,47802387
273102098,202500939349300315,990,2024-09-30,2023,SOLAR & ENERGY LOAN FUND OF ST LUCIE COUNTY INC,25714719,16362991
273102098,202431219349301768,990,2023-09-30,2022,SOLAR & ENERGY LOAN FUND OF ST LUCIE COUNTY INC,22664434,12736971
273102098,202331629349300103,990,2022-09-30,2021,SOLAR & ENERGY LOAN FUND OF ST LUCIE COUNTY INC,20384706,10984551
273553319,202510949349301036,990,2024-06-30,2023,CHARITON VALLEY REGIONAL HOUSING TRUST FUND INC,1220785,23765
273553319,202430759349302143,990,2023-06-30,2022,CHARITON VALLEY REGIONAL HOUSING TRUST FUND INC,1346102,55897
273553319,202340699349301439,990,2022-06-30,2021,CHARITON VALLEY REGIONAL HOUSING TRUST FUND INC,1328374,21134
331068719,202513219349304666,990,2024-12-31,2024,MICHIGAN COMMUNITY CAPITAL,74933829,59718317
331068719,202403179349304710,990,2023-12-31,2023,MICHIGAN COMMUNITY CAPITAL,66808969,52553398
331068719,202343179349301114,990,2022-12-31,2022,MICHIGAN COMMUNITY CAPITAL,77994723,60312769
386091548,202610439349300411,990,2025-09-30,2024,BIRMINGHAM STUDENT LOAN & SCHOLARSHIP FUND,966190,0
386091548,202500439349301300,990,2024-09-30,2023,BIRMINGHAM STUDENT LOAN & SCHOLARSHIP FUND,958297,0
386091548,202400409349300905,990,2023-09-30,2022,BIRMINGHAM STUDENT LOAN & SCHOLARSHIP FUND,962200,0
522010189,202541049349300834,990,2024-12-31,2024,BALTIMORE COUNTY SMALL BUSINESS LOAN FUND INC,1508535,637527
522010189,202400729349301220,990,2023-12-31,2023,BALTIMORE COUNTY SMALL BUSINESS LOAN FUND INC,1549274,679966
522010189,202340619349300129,990,2022-12-31,2022,BALTIMORE COUNTY SMALL BUSINESS LOAN FUND INC,1636111,769102
542058754,202542109349300549,990,2024-12-31,2024,PARTNER COMMUNITY CAPITAL INC,112252883,68099090
542058754,202422199349301592,990,2023-12-31,2023,PARTNER COMMUNITY CAPITAL INC,98103185,61531362
542058754,202302229349302410,990,2022-12-31,2022,PARTNER COMMUNITY CAPITAL INC,78991667,52875446
