ein,entity,attempt,source_url,result,file
030380921,,FAC via ProPublica,,no audits listed,
222872262,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-09-GSAFAC-0000372060,no pdf link on page,
222872262,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2023-09-GSAFAC-0000041170,no pdf link on page,
232889102,,FAC via ProPublica,,no audits listed,
943032394,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-09-GSAFAC-0000398055,no pdf link on page,
943032394,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-09-GSAFAC-0000351832,no pdf link on page,
462815132,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-12-GSAFAC-0000418292,no pdf link on page,
462815132,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-12-GSAFAC-0000368404,no pdf link on page,
462827486,,FAC via ProPublica,,no audits listed,
593270584,,FAC via ProPublica,,no audits listed,
412138426,,FAC via ProPublica,,no audits listed,
272313597,,FAC via ProPublica,,no audits listed,
953685889,,FAC via ProPublica,,no audits listed,
431259206,,FAC via ProPublica,,no audits listed,
473954632,,FAC via ProPublica,,no audits listed,
270735586,,FAC via ProPublica,,no audits listed,
842164033,,FAC via ProPublica,,no audits listed,
061469830,,FAC via ProPublica,,no audits listed,
471924613,,FAC via ProPublica,,no audits listed,
943398998,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-09-GSAFAC-0000397451,no pdf link on page,
943398998,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-09-GSAFAC-0000361448,no pdf link on page,
621823596,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-12-GSAFAC-0000417732,no pdf link on page,
621823596,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-12-GSAFAC-0000368656,no pdf link on page,
812179565,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-06-GSAFAC-0000396996,no pdf link on page,
832202198,,FAC via ProPublica,,no audits listed,
043292614,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-12-GSAFAC-0000367409,no pdf link on page,
043292614,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/24501920221,no pdf link on page,
943099401,,FAC via ProPublica,,no audits listed,
222524015,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-06-GSAFAC-0000393379,no pdf link on page,
222524015,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-06-GSAFAC-0000064824,no pdf link on page,
030239902,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2024-06-GSAFAC-0000061593,no pdf link on page,
030239902,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2023-06-GSAFAC-0000003996,no pdf link on page,
050483965,,FAC via ProPublica,,no audits listed,
463140210,,FAC via ProPublica,,no audits listed,
208181931,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2025-12-GSAFAC-0000409565,no pdf link on page,
208181931,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/2023-12-GSAFAC-0000040215,no pdf link on page,
820523355,,FAC single audit,https://projects.propublica.org/nonprofits/display_audit/23800620221,no pdf link on page,
222872262,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2024-09-GSAFAC-0000372060,failed 403 text/html; charset=UTF-8,
943032394,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2025-09-GSAFAC-0000398055,failed 403 text/html; charset=UTF-8,
462815132,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2025-12-GSAFAC-0000418292,failed 403 text/html; charset=UTF-8,
943398998,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2025-09-GSAFAC-0000397451,failed 403 text/html; charset=UTF-8,
621823596,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2024-12-GSAFAC-0000368656,failed 403 text/html; charset=UTF-8,
812179565,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2025-06-GSAFAC-0000396996,failed 403 text/html; charset=UTF-8,
043292614,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2024-12-GSAFAC-0000367409,failed 403 text/html; charset=UTF-8,
222524015,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2025-06-GSAFAC-0000393379,failed 403 text/html; charset=UTF-8,
030239902,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2024-06-GSAFAC-0000061593,failed 403 text/html; charset=UTF-8,
208181931,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=2025-12-GSAFAC-0000409565,failed 403 text/html; charset=UTF-8,
820523355,,FAC single audit,https://projects.propublica.org/nonprofits/download-audit?download=true&filename=23800620221,failed 403 text/html; charset=UTF-8,
222872262,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2024-09-GSAFAC-0000372060,downloaded,/home/user/Claude/documents/222872262_2024_singleaudit.pdf
222872262,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2023-09-GSAFAC-0000041170,downloaded,/home/user/Claude/documents/222872262_2023_singleaudit.pdf
943032394,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2025-09-GSAFAC-0000398055,downloaded,/home/user/Claude/documents/943032394_2025_singleaudit.pdf
462815132,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2025-12-GSAFAC-0000418292,downloaded,/home/user/Claude/documents/462815132_2025_singleaudit.pdf
943398998,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2025-09-GSAFAC-0000397451,downloaded,/home/user/Claude/documents/943398998_2025_singleaudit.pdf
621823596,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2024-12-GSAFAC-0000368656,downloaded,/home/user/Claude/documents/621823596_2024_singleaudit.pdf
812179565,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2025-06-GSAFAC-0000396996,downloaded,/home/user/Claude/documents/812179565_2025_singleaudit.pdf
043292614,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2024-12-GSAFAC-0000367409,downloaded,/home/user/Claude/documents/043292614_2024_singleaudit.pdf
222524015,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2025-06-GSAFAC-0000393379,downloaded,/home/user/Claude/documents/222524015_2025_singleaudit.pdf
030239902,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2024-06-GSAFAC-0000061593,downloaded,/home/user/Claude/documents/030239902_2024_singleaudit.pdf
208181931,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/2025-12-GSAFAC-0000409565,downloaded,/home/user/Claude/documents/208181931_2025_singleaudit.pdf
820523355,,FAC single audit,https://app.fac.gov/dissemination/report/pdf/23800620221,failed 404,
030380921,Connecticut CDFI Alliance,website+search,,not found - 990-only,
232889102,PIDC Community Capital,pidcphila.com + search + FAC,,no public audited F/S - 990-only,
272313597,Church Loan Fund Inc,churchloanfund.com + search,,not found - 990-only,
431259206,Clay Platte Development Corp,search,,not found - 990-only,
473954632,Evergreen Business Capital Community Finance,search,,not found - 990-only,
270735586,Native Community Capital,search (docs portal login-only),https://documents.nativecap.org/login,not public - 990-only,
842164033,Sandhurst Community Capital,search,,not found - 990-only,
061469830,Community Capital Fund Inc (Bridgeport),search,,defunct/merged - 990-only,
471924613,Southeast Florida Community Development Fund,search,,not found - 990-only,
832202198,Catalyst Community Capital,search,,not found - 990-only,
943099401,Merritt Community Capital,merrittcap.org + search,,no public audited F/S - 990-only,
050483965,Providence Business Loan Fund,search,,not found - 990-only,
