ein,name,flags,key_numbers,rationale
030380921,Connecticut CDFI Alliance Inc,F3,"assets=0; liab=0; loans=0","Servicing-only entity: mission/Part III are entirely 'loan servicing of loans used to finance affordable and special needs housing' with a zero balance sheet - the serviced portfolio lives elsewhere."
222872262,Community Loan Fund of New Jersey Inc (New Jersey Community Capital),F1+F2+F3,"assets=263.2M; escrow_x21=10.2M; capital under mgmt=707M; loan fees 5.3M vs interest 7.2M","990 discloses $707M 'capital under management' vs $263M total assets (2.7x); Part X line 21 escrow/custodial liability $10.2M; heavy fee income."
232889102,PIDC Community Capital,F2+F3+F4,"assets=73.0M; NMTC allocation won=473M deployed=412.5M; NMTC fees=3.0M dominant","NMTC CDE administrator: deployed $412.5M of allocation vs $73M own assets; program fee revenue dominant; sub-CDE loans not on own statement."
943032394,Community Vision Capital & Consulting,F2+F3+F4,"assets=161.8M; NMTC allocation=218M; 'consulting and fiscal agent fees'=348K; RLF investor capital=103.6M","CDE whose Schedule O describes LLC 'conduit lender' structure 99.99% investor-owned and unconsolidated; explicit fiscal-agent fee revenue line."
462815132,Appalachian Community Capital,F2+F4,"assets=543.3M; liab=538.2M; loans_recv=32.2M; GGRF/CCIA award=500M","GGRF Clean Communities Investment Accelerator recipient (Green Bank for Rural America): $500M federal climate-lending award; 990 shows near-matching asset/liability with tiny loans receivable - how audited F/S present program funds is exactly the target question."
462827486,Appalachian Community Capital (second EIN),F4,"assets=18.3M; liab=18.3M; loans_recv=0","Same family/wholesale CDFI intermediary; assets fully offset by liabilities with zero loans receivable on this EIN."
593270584,Florida Development Finance Corporation,F3+F4,"assets=12.3M; loans_recv=0; conduit issuance fees=4.6M; PACE fees=872K","State-created conduit bond issuer: fee-only revenue; conduit bonds and PACE assessments repaid solely by borrowers and never appear on its statement - clean full-exclusion fingerprint."
412138426,NT CDFI Inc,F3+gross-agency,"assets=526353; loans_recv=526352; liab=526353 (Due to National Trust)","Manages the National Trust for Historic Preservation's Inner-City Ventures revolving loan fund; balance sheet is a gross agency asset exactly offset by 'Due to National Trust' - zero net."
272313597,Church Loan Fund Inc,F4-analog+gross-agency,"assets=55.1M; loans=51.4M; liab=54.9M","Self-described 'manager and administrator' of church loans for the Church of God Ministers' Retirement Plan; near-zero net assets - gross agency asset with matching agency liability pattern."
953685889,Springboard CDFI,F4,"assets=10.4M; loans_recv=5.8M; 'Due to CWCOT'=1.27M; HVLS+CWCOT fees dominant","Part III: originates or services down-payment/mortgage programs 'as the administrator on behalf of government or nonprofit entities' (CalHome et al); agency due-to caption on Schedule D."
431259206,Clay Platte Development Corp,F3,"assets=1.7M; servicing income=150K vs interest=66K","SBA 504 CDC: services a debenture-funded 504 portfolio that never sits on its balance sheet; servicing income is the dominant revenue line - representative of the whole 504 CDC class."
473954632,Evergreen Business Capital Community Finance,F3,"assets=5.8M; loans_recv=0.7M; loan services fees=141K vs interest=23K","Servicing-fee-dominant affiliate of an SBA 504 CDC; loans receivable only 13% of assets while it services loans for affiliated programs."
270735586,Native Community Capital,F3,"assets=22.0M; loans_recv=5.6M; loan servicing fees=266K top program revenue","Loan servicing fees are the top program revenue line while own loans are only 26% of assets - fingerprint of a serviced third-party portfolio."
842164033,Sandhurst Community Capital,F3+gross-agency,"assets=5.98M; liab=5.85M; servicing income=535K dominant","Servicing income dominates; assets almost exactly offset by liabilities (near-zero net) - administered/financed on behalf of a sponsor."
061469830,Community Capital Fund Inc (Bridgeport),F1-adjacent,"assets=18.8M; Sch D 'AGENCY LIABILITIES'=2.9M","Explicit 'Agency liabilities' caption (16% of assets) on Schedule D other liabilities - gross agency-liability presentation on the 990."
