ein,name,state,ntee_code,target_ntee_match,most_recent_filing_year,matched_queries
10728162,Coalition Of Community Development Financial Institutions Inc,DC,S023,,2023,community development financial institution
10764462,Housing Trust Fund Of Johnson County,IA,L80,Y,2024,housing trust fund
10793507,South Carolina Community Loan Fund,SC,L99,,2023,community loan fund; loan fund
10824510,Dallas County Local Housing Trust Fund Inc,IA,L25,Y,2023,housing trust fund
10838477,Southern Iowa Cog Housing Trust Fund,IA,L80,Y,2023,housing trust fund
10916120,Turtle Mountain Cdfi,ND,L20,Y,2017,CDFI
20592358,Capital District Insurance Community Inc,NY,S41,,2010,community capital
20749992,Southwest Iowa Housing Trust Fund Inc,IA,,,2024,housing trust fund
26004488,Frank E Green Trust First Nh Bank Na Trust,RI,T20,,2024,green bank
30239902,Vermont Housing Finance Agency,VT,L122,,2023,housing finance; housing finance agency
30298897,Alburg Housing Finance Corporation,VT,,,2009,housing finance
30315075,Evernorth Loan Fund Inc,ME,L20Z,Y,2023,loan fund
30339464,Connecticut River Valley Revolving Loan Fund,VT,S20Z,,2009,loan fund; revolving loan fund
30380921,Connecticut Cdfi Alliance Inc,CT,L20,Y,2022,CDFI
30428686,Helen E Popa Masters In Nursing Loan Fund,OH,B82,,2022,loan fund
36016859,Oleary Tuw Fbo St Jeromes Parish,NY,,,2024,green bank
42484810,Greater Lawrence Revolving Loan Fund Inc,MA,L80,Y,2023,loan fund; revolving loan fund
42588840,Cape Ann Commercial Fishermens Loan Fund Inc,MA,,,2024,loan fund
43051661,Tri Community Ymca Capital Facilities Endowment Fund,MA,P27I,,2018,community capital
43122535,Community Health Center Capital Fund Inc,MA,E70,,2023,community capital
43247724,Gloucester Revolving Loan Fund Inc,MA,,,2016,loan fund; revolving loan fund
43292614,New Hope Community Capital Inc,MA,L21,Y,2023,community capital
43473587,Dorchester Bay Nieghborhood Loan Fund Inc,MA,S30,Y,2023,loan fund
43586322,Chavez Community Capital,CA,L21,Y,2023,community capital
43642655,Community Capital Of Vermont Inc,VT,S32,,2023,community capital
46044855,Mac Dougall Student Loan Fund,MA,,,2024,loan fund
50259090,Capital City Community Centers Inc,RI,P280,,2023,community capital
50483965,Providence Business Loan Fund,RI,Z99Z,,2023,loan fund
50566668,Community Lunch On Capitol Hill,WA,K34,,2023,community capital
60963628,Plainville Student Loan Fund Inc,CT,,,,loan fund
61423598,Hartford Community Loan Fund Inc,CT,S410,,2024,community loan fund; loan fund
61469830,Community Capital Fund Inc,CT,,,2015,community capital
66071060,Greenwich Student Loan Fund Inc,CT,,,2024,loan fund
112601936,Brentwood Green Machine Band Parents Association Inc,NY,A6C,,,green bank
113219715,East Hampton Community Revolving Loan Fund Inc,NY,S21,,,community loan fund; loan fund; revolving loan fund
116111557,Student Loan Fund Association Of Port Washington,NY,,,,loan fund
133132485,Women In Housing And Finance Inc,NY,L03,,2022,housing finance
133544227,Community Capital New York Inc,NY,L82Z,,2024,community capital
133678913,Ndc Housing And Economic Development Corporation,NY,,,,community development corporation loan; community loan fund; housing loan fund; loan fund
133732021,Samuel Lemberg Scholarship Loan Fund Inc,NY,,,2024,loan fund
133874264,Hudson Valley Affordable Housing Finance,NY,,,2018,housing finance
